Year,CitingField,NumOutgoingCitations,CitedField,NumIncomingCitations
1925.0,41008148,74,41008148,17437
1904.0,205649164,24,205649164,4156
1896.0,127313418,51,127313418,1860
1865.0,17744445,1,17744445,855
1865.0,142362112,8,142362112,1160
1910.0,144133560,32,144133560,990
1857.0,185592680,4,185592680,2338
1861.0,205649164,3,205649164,1270
1852.0,142362112,1,142362112,730
1894.0,39432304,6,39432304,254
1813.0,138885662,1,138885662,229
1876.0,17744445,2,17744445,598
1875.0,192562407,4,192562407,852
1902.0,41008148,7,41008148,5326
1875.0,127313418,4,127313418,1270
1852.0,39432304,1,39432304,7
1866.0,192562407,1,192562407,390
1811.0,121332964,1,121332964,207
1878.0,95457728,1,95457728,767
1895.0,95457728,6,95457728,2719
1852.0,185592680,3,185592680,740
1871.0,95457728,2,95457728,1102
1853.0,121332964,2,121332964,354
1833.0,138885662,1,138885662,180
1847.0,142362112,5,142362112,538
1856.0,205649164,1,205649164,958
1895.0,144024400,2,144024400,3127
1854.0,138885662,2,138885662,301
1871.0,192562407,1,192562407,793
1837.0,86803240,1,86803240,528
1841.0,142362112,1,142362112,1363
1839.0,127413603,1,127413603,42
1971.0,127413603,110816,127413603,366413
2013.0,121332964,3793980,121332964,2351577
1993.0,95457728,38588,95457728,141419
1949.0,127413603,14821,127413603,34289
1939.0,15744967,6294,15744967,38253
1884.0,86803240,29,86803240,4309
1906.0,144133560,2,144133560,512
1925.0,121332964,1437,121332964,18007
1976.0,144024400,25472,144024400,133850
1988.0,41008148,360654,41008148,1282100
1995.0,138885662,55151,138885662,116235
1982.0,138885662,29423,138885662,69839
1963.0,127313418,23722,127313418,118959
1933.0,86803240,14825,86803240,67457
1932.0,15744967,3717,15744967,42221
1958.0,162324750,857,162324750,53472
1930.0,95457728,237,95457728,10397
1987.0,127413603,374495,127413603,1020841
1969.0,121332964,142217,121332964,531383
2000.0,138885662,119226,138885662,144929
1954.0,15744967,16855,15744967,163211
1918.0,127313418,131,127313418,5482
1998.0,33923547,800351,33923547,2039382
1988.0,205649164,66896,205649164,248805
1996.0,162324750,255570,162324750,918413
1980.0,71924100,734705,71924100,2067673
1949.0,144133560,881,144133560,5433
1934.0,185592680,17854,185592680,109188
1992.0,162324750,174230,162324750,671772
1903.0,185592680,3558,185592680,13620
1967.0,142362112,10294,142362112,39745
1923.0,138885662,2742,138885662,7357
1911.0,127313418,282,127313418,6721
2000.0,86803240,5566879,86803240,11303627
1993.0,17744445,93881,17744445,438122
1972.0,142362112,7896,142362112,44665
1966.0,185592680,365502,185592680,1204910
1981.0,162324750,56761,162324750,312855
1956.0,144024400,1309,144024400,33933
1900.0,121332964,198,121332964,2439
2021.0,33923547,293353,33923547,3297
2015.0,17744445,1675140,17744445,370375
1981.0,205649164,40843,205649164,161006
1982.0,205649164,51498,205649164,162338
1990.0,95457728,41826,95457728,127201
2017.0,121332964,4427144,121332964,1430623
1885.0,185592680,465,185592680,5679
2004.0,205649164,516730,205649164,698750
1983.0,86803240,1185732,86803240,2968777
2011.0,121332964,3171448,121332964,2485795
1969.0,86803240,319289,86803240,1010423
1882.0,33923547,4,33923547,6403
1920.0,138885662,2007,138885662,8008
2004.0,127413603,2658859,127413603,3350186
2008.0,142362112,272474,142362112,164733
2001.0,142362112,97148,142362112,163927
1943.0,138885662,2611,138885662,5306
2005.0,86803240,8192472,86803240,11777881
1866.0,71924100,16,71924100,1590
1926.0,39432304,299,39432304,9961
2014.0,127413603,6335716,127413603,2450656
1994.0,185592680,2321490,185592680,4474044
1969.0,39432304,14865,39432304,83541
1997.0,205649164,150596,205649164,470443
1935.0,95457728,522,95457728,10804
2019.0,144133560,2547204,144133560,287584
2008.0,127313418,1091613,127313418,1062161
2009.0,71924100,11865661,71924100,11300994
2009.0,15744967,4077888,15744967,3841593
1888.0,185592680,622,185592680,9323
2019.0,127313418,2401371,127313418,211318
1987.0,86803240,1681761,86803240,4105365
2001.0,162324750,505609,162324750,1259103
2017.0,15744967,6100201,15744967,1357109
1994.0,162324750,203438,162324750,728072
1907.0,71924100,2555,71924100,19656
2018.0,95457728,324044,95457728,32675
1958.0,185592680,145338,185592680,603846
1999.0,162324750,382055,162324750,1193675
1948.0,127413603,15407,127413603,39774
1963.0,86803240,133998,86803240,539576
1998.0,127313418,414213,127313418,869798
1957.0,95457728,2244,95457728,30093
1988.0,121332964,441505,121332964,1182907
1962.0,192562407,117817,192562407,446728
1940.0,142362112,1667,142362112,9348
1898.0,138885662,284,138885662,2174
1886.0,142362112,11,142362112,1632
2020.0,127313418,2615528,127313418,65873
2021.0,71924100,1958951,71924100,12820
2000.0,33923547,934168,33923547,2132207
2014.0,192562407,10624406,192562407,6083816
1984.0,138885662,27680,138885662,74018
2006.0,162324750,979138,162324750,1282961
1966.0,121332964,104156,121332964,430552
1987.0,144133560,35619,144133560,187205
1944.0,33923547,1934,33923547,35225
1918.0,71924100,2667,71924100,21279
1894.0,121332964,235,121332964,5245
1985.0,142362112,26380,142362112,81655
1986.0,41008148,246478,41008148,1022085
1994.0,95457728,63820,95457728,147803
1972.0,95457728,8985,95457728,69441
1927.0,185592680,9821,185592680,48267
2004.0,95457728,176348,95457728,156731
1952.0,121332964,15707,121332964,120277
2013.0,41008148,8309785,41008148,5056896
1995.0,71924100,2376601,71924100,5967417
1960.0,39432304,12750,39432304,56511
1893.0,71924100,574,71924100,9017
1925.0,142362112,879,142362112,7519
1997.0,185592680,2638040,185592680,5204717
2012.0,86803240,14533329,86803240,9612113
2012.0,71924100,15578336,71924100,9765395
1977.0,33923547,141462,33923547,776280
