year(Date),FieldOfStudyId,Gender,Authorships
1838.0,185592680,1,65
1872.0,17744445,1,110
1908.0,86803240,0,98
1932.0,192562407,0,246
1854.0,205649164,1,207
1941.0,192562407,0,222
1920.0,192562407,0,138
1840.0,144024400,1,24
1893.0,15744967,1,156
1808.0,192562407,1,6
1889.0,205649164,1,452
1843.0,95457728,1,175
1918.0,192562407,0,71
1928.0,39432304,0,93
1923.0,41008148,0,165
1874.0,127413603,1,153
1805.0,205649164,1,32
1867.0,95457728,0,22
1824.0,86803240,1,26
1909.0,127413603,0,77
1924.0,192562407,0,177
1841.0,127313418,1,23
1820.0,71924100,1,34
1817.0,127413603,1,16
1818.0,95457728,1,101
1884.0,185592680,0,12
1897.0,121332964,1,323
1895.0,144133560,1,82
1807.0,41008148,1,6
1894.0,138885662,0,38
1935.0,33923547,0,101
1880.0,33923547,1,101
1859.0,205649164,0,11
1800.0,95457728,0,19
1929.0,121332964,0,90
1934.0,39432304,0,51
1860.0,15744967,1,58
1833.0,185592680,0,4
1943.0,162324750,0,79
1906.0,138885662,0,51
1915.0,15744967,0,102
1858.0,127413603,1,91
1860.0,144133560,1,14
1916.0,33923547,0,30
1849.0,86803240,1,80
1872.0,15744967,1,54
1896.0,33923547,1,131
1946.0,39432304,0,88
1881.0,138885662,0,24
1929.0,138885662,0,205
1847.0,185592680,1,73
1865.0,33923547,1,42
1850.0,95457728,1,230
1864.0,33923547,1,27
1868.0,127413603,1,85
1839.0,95457728,0,9
1866.0,17744445,0,12
1833.0,138885662,1,93
1901.0,39432304,0,12
1836.0,144024400,1,20
1862.0,127413603,1,110
1877.0,95457728,0,28
,33923547,1,12
1918.0,144024400,0,54
1907.0,192562407,0,65
1949.0,33923547,0,134
1896.0,138885662,0,34
1851.0,86803240,1,79
1880.0,95457728,0,56
1924.0,162324750,0,35
1855.0,138885662,1,133
1890.0,192562407,1,76
1865.0,142362112,0,58
,41008148,1,38
1812.0,121332964,1,9
1896.0,95457728,0,67
1873.0,205649164,0,19
1803.0,192562407,1,10
1810.0,71924100,1,15
1801.0,86803240,1,10
1901.0,15744967,0,64
1875.0,39432304,1,25
1839.0,185592680,1,63
1832.0,205649164,1,62
1817.0,138885662,0,3
1886.0,205649164,0,23
1893.0,121332964,0,11
1866.0,205649164,0,15
1891.0,33923547,0,4
1824.0,138885662,1,73
1842.0,138885662,0,7
1848.0,205649164,1,127
1887.0,144024400,1,45
1815.0,185592680,1,43
