year(Date),FieldOfStudyId,Gender,Authorships
1882.0,138885662,0,20
1888.0,33923547,1,126
1851.0,205649164,1,184
1821.0,138885662,1,86
1821.0,95457728,0,6
1801.0,185592680,1,8
1839.0,127413603,1,51
1941.0,138885662,0,193
1884.0,205649164,0,27
1921.0,15744967,0,193
1920.0,127413603,0,170
1915.0,86803240,0,164
1838.0,138885662,1,115
1833.0,17744445,1,30
1859.0,205649164,1,226
1838.0,185592680,1,65
1872.0,17744445,1,114
1908.0,86803240,0,99
1932.0,192562407,0,261
1854.0,205649164,1,281
1941.0,192562407,0,229
1920.0,192562407,0,141
1840.0,144024400,1,29
1893.0,15744967,1,188
1808.0,192562407,1,6
1889.0,205649164,1,515
1843.0,95457728,1,203
1918.0,192562407,0,74
1928.0,39432304,0,99
1923.0,41008148,0,167
1874.0,127413603,1,194
1805.0,205649164,1,47
1867.0,95457728,0,31
1824.0,86803240,1,29
1909.0,127413603,0,82
1924.0,192562407,0,183
1841.0,127313418,1,24
1820.0,71924100,1,35
1817.0,127413603,1,16
1818.0,95457728,1,109
1884.0,185592680,0,12
1897.0,121332964,1,337
1895.0,144133560,1,87
1807.0,41008148,1,6
1894.0,138885662,0,39
1935.0,33923547,0,102
1880.0,33923547,1,104
1859.0,205649164,0,11
1800.0,95457728,0,21
1929.0,121332964,0,94
1934.0,39432304,0,51
1860.0,15744967,1,60
1833.0,185592680,0,4
1943.0,162324750,0,82
1906.0,138885662,0,51
1915.0,15744967,0,113
1858.0,127413603,1,98
1860.0,144133560,1,14
1916.0,33923547,0,31
1849.0,86803240,1,92
1872.0,15744967,1,58
1896.0,33923547,1,136
1946.0,39432304,0,92
1881.0,138885662,0,24
1929.0,138885662,0,212
1847.0,185592680,1,82
1850.0,95457728,1,278
1824.0,138885662,1,79
1880.0,15744967,1,61
1867.0,15744967,1,28
1880.0,95457728,0,58
1878.0,144024400,1,31
1877.0,162324750,1,11
1944.0,144133560,0,100
1848.0,205649164,1,140
1843.0,144133560,1,9
1905.0,127413603,0,66
1867.0,17744445,0,7
1904.0,17744445,0,52
1896.0,95457728,0,70
1857.0,144133560,1,13
1873.0,127413603,1,148
1865.0,33923547,1,42
1851.0,86803240,1,85
1901.0,192562407,0,40
1855.0,138885662,1,147
1864.0,39432304,1,9
1864.0,71924100,0,13
1833.0,138885662,1,107
1862.0,127413603,1,123
1907.0,192562407,0,65
1949.0,33923547,0,134
1901.0,15744967,0,75
1924.0,162324750,0,36
1866.0,17744445,0,12
1832.0,205649164,1,72
1861.0,144024400,0,2
1852.0,121332964,0,3
