year(Date),FieldOfStudyId,AllAuthorships,WosAuthorships
1986.0,185592680,706982,279108
1990.0,127313418,126087,34240
1967.0,17744445,21455,11668
1951.0,192562407,32511,10549
1877.0,144024400,117,29
1947.0,17744445,6670,3190
1900.0,127313418,4993,554
1937.0,127413603,17530,8296
1939.0,192562407,12144,3884
1878.0,95457728,1057,358
1901.0,127313418,4799,440
1815.0,185592680,76,44
1891.0,127313418,868,188
1992.0,121332964,389042,83690
1952.0,71924100,114384,22647
1988.0,95457728,36508,17944
1953.0,142362112,17196,6895
1975.0,95457728,23912,12714
1977.0,95457728,25259,13941
1984.0,95457728,31444,16846
1891.0,142362112,4119,1285
1882.0,71924100,2002,705
1927.0,17744445,3795,1710
1894.0,127413603,2818,427
1957.0,162324750,2971,1625
1959.0,138885662,10644,4641
1919.0,192562407,8784,1909
1864.0,185592680,425,120
1939.0,144133560,2487,962
1895.0,95457728,2107,675
1832.0,17744445,117,39
2006.0,192562407,2077652,584746
1993.0,192562407,840783,229035
1981.0,33923547,62020,25829
1973.0,17744445,33091,19905
1912.0,142362112,10212,2975
1930.0,15744967,3721,1841
1951.0,95457728,8190,3879
1950.0,142362112,14914,6463
1938.0,95457728,6610,2832
1863.0,185592680,425,117
1914.0,17744445,2472,1002
1850.0,86803240,216,96
1938.0,144024400,2483,1296
1887.0,192562407,718,97
1816.0,71924100,162,56
1990.0,33923547,122381,51168
2016.0,205649164,705897,186540
2017.0,95457728,176974,30785
1997.0,144133560,78181,31880
1935.0,162324750,1508,699
1970.0,95457728,22706,11532
1929.0,144024400,1799,932
1909.0,185592680,5593,2094
1930.0,127413603,8223,2925
1904.0,205649164,2511,838
1841.0,142362112,1152,383
1895.0,71924100,4400,1680
1922.0,121332964,3548,869
1921.0,121332964,3271,809
1895.0,41008148,3199,313
1827.0,185592680,57,14
1845.0,127313418,191,90
1999.0,192562407,1282116,350732
1979.0,41008148,128362,31779
1947.0,142362112,11738,5056
1988.0,71924100,849078,298331
2008.0,95457728,120217,28157
1957.0,15744967,12900,6258
1976.0,71924100,381895,94008
1987.0,39432304,88465,18945
1940.0,33923547,2966,1044
1947.0,15744967,5982,2754
1931.0,127313418,4035,1634
1929.0,86803240,9159,2938
1957.0,17744445,10214,5004
1833.0,205649164,206,95
1915.0,205649164,3163,1076
1923.0,162324750,915,412
1919.0,71924100,8216,3676
1814.0,142362112,605,199
1862.0,138885662,587,173
1846.0,144133560,45,19
,127413603,379,78
1972.0,41008148,39720,15220
1967.0,121332964,77378,13296
2003.0,95457728,78505,21553
2018.0,144133560,739309,162658
1991.0,17744445,75461,35100
1978.0,127313418,63498,15488
1952.0,39432304,7212,2457
1967.0,138885662,16220,7355
1919.0,17744445,2843,1166
1921.0,86803240,5017,1800
1821.0,142362112,883,333
1953.0,144133560,3746,1400
1830.0,33923547,102,28
1930.0,138885662,5789,2243
1866.0,192562407,135,40
1905.0,205649164,2676,926
2017.0,144024400,416453,109517
1998.0,17744445,130448,50174
1960.0,185592680,120875,36352
1954.0,71924100,122565,23760
1981.0,95457728,28626,15517
1913.0,185592680,6481,2391
1940.0,39432304,4898,797
1938.0,127313418,3617,1392
1928.0,15744967,3485,1633
1936.0,138885662,5530,2318
1950.0,138885662,7662,3435
1858.0,185592680,338,79
1800.0,95457728,401,224
1890.0,127413603,1259,299
2015.0,71924100,5830476,2994157
1974.0,41008148,45485,19230
2005.0,127413603,1057774,354170
1988.0,185592680,799111,332209
2017.0,39432304,1187787,261360
1886.0,33923547,431,133
1926.0,205649164,4322,1629
1963.0,15744967,20581,10574
1902.0,185592680,4409,1278
1931.0,142362112,13554,4683
1941.0,192562407,11112,3871
1932.0,162324750,1456,590
1822.0,95457728,201,132
1927.0,121332964,4476,1195
1931.0,33923547,2511,890
1874.0,127413603,744,203
1919.0,205649164,2695,1034
1913.0,192562407,11575,1130
1846.0,192562407,56,16
1920.0,41008148,6443,2198
1943.0,162324750,1177,633
1843.0,86803240,220,101
,144024400,532,134
1985.0,41008148,196803,54169
2008.0,138885662,177905,42134
1975.0,185592680,381972,139755
2007.0,162324750,161753,79871
2019.0,162324750,183014,57089
1964.0,71924100,217042,40278
1989.0,33923547,111431,46942
1977.0,41008148,108099,28697
1958.0,71924100,137171,28136
1957.0,127313418,11688,4209
1876.0,95457728,1055,350
1961.0,127313418,15333,5051
1941.0,86803240,12152,4232
1896.0,138885662,1900,573
1932.0,41008148,7575,3074
1913.0,15744967,1584,736
1896.0,33923547,750,146
1841.0,127413603,153,40
1883.0,121332964,588,141
1995.0,86803240,722493,373784
1992.0,86803240,611860,301429
2007.0,121332964,1311479,314808
1969.0,144024400,13209,7687
2006.0,138885662,142849,36157
2007.0,127313418,334441,107426
1982.0,86803240,260512,104922
2003.0,144133560,171936,62283
1986.0,192562407,600719,134904
1997.0,95457728,54444,17563
1935.0,86803240,13076,3913
1901.0,144024400,507,232
1937.0,121332964,4904,1262
1933.0,17744445,4682,2180
1937.0,41008148,4790,1866
1909.0,127413603,5255,1121
1805.0,138885662,197,65
