AuthorId,PageRank,PageRank05,InDegreeStrength,InDegree,OutDegreeStrength,OutDegree,Gender,Rank,AuthorId.1,Rank.1,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,PaperFamilyCount,CitationCount,CreatedDate,DisplayName.1
2155507438,0.00070440816,0.00033398386,21999.83,20671.0,9270.647,2471.0,1,12364,2155507438,12364,jeffrey a frankel,Jeffrey A. Frankel,136199984.0,444,400,33838,2016-06-24,Jeffrey A. Frankel
2163021063,0.00069938006,0.00033100994,23108.8,18258.0,2496.2222,1302.0,1,11761,2163021063,11761,raghuram g rajan,Raghuram G. Rajan,40347166.0,218,192,46460,2016-06-24,Raghuram G. Rajan
2137233744,0.000697419,0.00022248,14105.191,6926.0,5088.1333,1105.0,1,13117,2137233744,13117,bennett t mccallum,Bennett T. McCallum,74973139.0,241,208,12228,2016-06-24,Bennett T. McCallum
2623349043,0.0006971553,0.00032551427,7443.54,9905.0,321.5,243.0,1,12486,2623349043,12486,henri theil,Henri Theil,33213144.0,203,203,18881,2017-06-15,Henri Theil
2312377009,0.00069096184,0.00030538696,10958.932,11206.0,719.2592,856.0,1,12594,2312377009,12594,william d nordhaus,William D. Nordhaus,32971472.0,271,262,27849,2016-06-24,William D. Nordhaus
1971599609,0.00068219885,0.0002491957,11239.038,13100.0,480.30554,528.0,1,12380,1971599609,12380,bengt holmstrom,Bengt Holmstrom,63966007.0,84,75,34613,2016-06-24,Bengt Holmstrom
2169662904,0.00066979707,0.0002508255,16011.371,14343.0,1689.5806,846.0,1,12618,2169662904,12618,guillermo a calvo,Guillermo A. Calvo,78577930.0,275,251,25116,2016-06-24,Guillermo A. Calvo
2101947066,0.00066591543,0.00031459858,23141.895,21288.0,3081.2734,1836.0,1,11933,2101947066,11933,alberto alesina,Alberto Alesina,136199984.0,380,320,53208,2016-06-24,Alberto Alesina
1856348575,0.0006625642,0.00026269443,13338.72,15656.0,1259.1666,860.0,1,12319,1856348575,12319,avinash dixit,Avinash Dixit,20089843.0,226,207,38132,2016-06-24,Avinash Dixit
662336143,0.0006617753,0.00029041778,18156.328,12685.0,4857.3193,1435.0,1,12639,662336143,12639,frederic s mishkin,Frederic S. Mishkin,78577930.0,277,247,22536,2016-06-24,Frederic S. Mishkin
1989999200,0.00065853377,0.000261999,21412.96,19488.0,1847.6576,1357.0,1,12189,1989999200,12189,mark gertler,Mark Gertler,57206974.0,170,145,43411,2016-06-24,Mark Gertler
2250833063,0.0006555276,0.00020102668,7420.433,9327.0,1082.539,744.0,1,12973,2250833063,12973,edmund s phelps,Edmund S. Phelps,78577930.0,290,280,13617,2016-06-24,Edmund S. Phelps
122795677,0.00065548904,0.00020193696,9181.348,6493.0,2197.7717,1014.0,0,12548,122795677,12548,laurence j kotlikoff,Laurence J. Kotlikoff,111088046.0,279,261,12758,2016-06-24,Laurence J. Kotlikoff
2233085770,0.0006551745,0.0005710793,12966.551,19767.0,422.93332,799.0,1,11393,2233085770,11393,michael e porter,Michael E. Porter,122411786.0,626,607,114371,2016-06-24,Michael E. Porter
1657228514,0.0006537061,0.0002130229,4870.095,5622.0,0.0,0.0,-1,13621,1657228514,13621,a c pigou,Arthur Cecil Pigou,241749.0,111,108,8400,2016-06-24,Arthur Cecil Pigou
2398235312,0.0006501677,0.00022988222,8092.015,7553.0,697.83655,527.0,1,13265,2398235312,13265,martin l weitzman,Martin L. Weitzman,136199984.0,195,183,14432,2016-06-24,Martin L. Weitzman
1965678328,0.00064823637,0.0002564391,6553.1167,7734.0,8.25,6.0,1,11811,1965678328,11811,harold hotelling,Harold Hotelling,78577930.0,72,71,24980,2016-06-24,Harold Hotelling
198900819,0.00064660585,0.00029826234,17547.555,28286.0,558.5833,661.0,1,11300,198900819,11300,robert w vishny,Robert W. Vishny,40347166.0,100,85,93837,2016-06-24,Robert W. Vishny
1880039828,0.0006445644,0.00027997894,14517.418,19130.0,1621.9194,1217.0,1,12058,1880039828,12058,alan b krueger,Alan B. Krueger,20089843.0,296,259,46293,2016-06-24,Alan B. Krueger
2004531954,0.0006418562,0.00020493264,10757.182,7732.0,4078.3032,1540.0,1,12621,2004531954,12621,alan j auerbach,Alan J. Auerbach,95457486.0,345,309,13450,2016-06-24,Alan J. Auerbach
2170338717,0.00064103113,0.00028140226,12234.992,13131.0,2164.2375,1870.0,1,12483,2170338717,12483,anthony b atkinson,Anthony B. Atkinson,909854389.0,395,367,26340,2016-06-24,Anthony B. Atkinson
616670817,0.00063709985,0.000222596,10501.27,9206.0,1114.9166,651.0,1,12846,616670817,12846,edward p lazear,Edward P. Lazear,97018004.0,145,130,19455,2016-06-24,Edward P. Lazear
726035367,0.00063030346,0.00025481856,12324.135,13807.0,1658.0056,1073.0,1,12750,726035367,12750,alan s blinder,Alan S. Blinder,20089843.0,233,219,19795,2016-06-24,Alan S. Blinder
2170156349,0.00062770915,0.0002456273,10571.277,10849.0,2100.9421,2071.0,1,12084,2170156349,12084,richard b freeman,Richard B. Freeman,136199984.0,1219,1131,44876,2016-06-24,Richard B. Freeman
373049685,0.0006160527,0.0002905427,18882.861,15108.0,6772.162,3718.0,1,12163,373049685,12163,barry eichengreen,Barry Eichengreen,95457486.0,822,755,33257,2016-06-24,Barry Eichengreen
2115544438,0.000604125,0.00020975964,10938.661,13449.0,1431.3486,1195.0,1,12295,2115544438,12295,lawrence f katz,Lawrence F. Katz,136199984.0,217,195,32553,2016-06-24,Lawrence F. Katz
2055366780,0.0006009712,0.00024797124,11073.582,12393.0,961.2833,772.0,1,12850,2055366780,12850,rudiger dornbusch,Rudiger Dornbusch,63966007.0,271,256,17519,2016-06-24,Rudiger Dornbusch
2305642352,0.00060062186,0.00022326532,7094.5117,8171.0,314.91666,233.0,1,12604,2305642352,12604,james m buchanan,James M. Buchanan,162714631.0,411,409,27216,2016-06-24,James M. Buchanan
2096392297,0.0005943537,0.00025607093,15909.433,20050.0,2213.672,1317.0,1,12348,2096392297,12348,jeremy c stein,Jeremy C. Stein,136199984.0,163,136,40490,2016-06-24,Jeremy C. Stein
