index,centrality,rND,rKL,rRD,equal_ex
21,PageRank,0.10421767854688195,0.020200898134683,0.16898506919578662,1.036212593265419
21,PageRank05,0.10643050968847644,0.02052948416051293,0.17269538086706507,1.028074733816696
21,InDegreeStrength,0.08967376576098324,0.016822804582981087,0.14639073858696974,1.0250147677936972
21,Rank,0.30525681522876275,0.10046064394124023,0.4372453545162,0.9957011623986887
22,PageRank,0.09759124409378023,0.018637412180879644,0.15909083239500973,1.033645426047284
22,PageRank05,0.09975764488293723,0.018875294305503224,0.16283299174142182,1.0264130084561123
22,InDegreeStrength,0.08664425819877489,0.016149581983395136,0.14192648377588815,1.0373884022089992
22,Rank,0.30657114988744033,0.10088769061064233,0.4397351530751791,0.9956751862639105
23,PageRank,0.08402572883602073,0.01553032036014234,0.13697174370418397,1.028445409018107
23,PageRank05,0.08618203532059907,0.015671587969111833,0.14104054134238098,1.0232634582175126
23,InDegreeStrength,0.07915682728133092,0.014726364793550948,0.1291770242854005,1.035332318439224
23,Rank,0.30789908612755124,0.10137024350104573,0.44240604592027977,0.9956573697103773
24,PageRank,0.07613441773641329,0.013984403882224503,0.1235920272655518,1.0249677983207066
24,PageRank05,0.0778313733187525,0.013872651315311834,0.1273758328001235,1.0211213094810117
24,InDegreeStrength,0.07410522197991463,0.013662104307179809,0.12149098014579597,1.0319794121495904
24,Rank,0.3109151347209049,0.10289940781488544,0.44762974142330514,0.9955981772150103
25,PageRank,0.07132011604628537,0.012834454733988069,0.11454028982945157,1.022445973070899
25,PageRank05,0.07299717456484421,0.012779638656275617,0.1185713461681239,1.0196333034313356
25,InDegreeStrength,0.06915183486320478,0.01288877173881653,0.11240669397142529,1.009661682251092
25,Rank,0.31278296044514736,0.10352990820963669,0.4499334477688978,0.995572641526536
26,PageRank,0.069983978494273,0.012369936908709871,0.11260044177695684,1.0218196426944053
26,PageRank05,0.07174347798621468,0.012333895888516182,0.1168372228603982,1.0192504201579666
26,InDegreeStrength,0.06757147152065728,0.011925012315766051,0.1103638337129452,1.0107107720685846
26,Rank,0.3153656443256104,0.10478685755173581,0.45344073540944124,0.9955287336809135
27,PageRank,0.07681056671777202,0.01327876982848054,0.12714844793639513,1.0246557906232325
27,PageRank05,0.07889511493040813,0.013393027838036664,0.13122033647238565,1.0203196997397888
27,InDegreeStrength,0.07636876698112059,0.01264870325014819,0.12741961507909833,1.0327093474140792
27,Rank,0.32294126862092876,0.10866934670530588,0.4636578695930149,0.9953901290361147
