AuthorId	PageRank	PageRank05	InDegreeStrength	InDegree	OutDegreeStrength	OutDegree	Gender	Rank
1841166006	7.185365e-07	1.301915e-06	4.1666665	16.0	12.0	12.0	1	14535
1843149852	5.092773e-07	1.0565130000000001e-06	0.5	3.0	10.277778	10.277778	1	16742
1858149617	4.955723e-07	1.0394815e-06	0.5	3.0	20.95	20.95	0	18474
1863139490	4.7988215e-07	1.0261032e-06	0.0	0.0	2.0	2.0	0	17535
1869884393	4.7988215e-07	1.0261032e-06	0.0	0.0	1.0	1.0	0	15724
1890816705	7.171420999999999e-07	1.1526349999999999e-06	4.75	11.0	1.0	1.0	0	18754
1892026383	5.211627500000001e-07	1.0717109e-06	1.1666666	8.0	6.666666499999999	6.666666499999999	1	15883
1894544919	9.010566e-07	1.4199125e-06	11.25	43.0	54.326923	54.326923	1	15088
1898205098	4.7988215e-07	1.0261032e-06	0.0	0.0	9.5	9.5	1	17702
1899398318	4.7988215e-07	1.0261032e-06	0.0	0.0	8.933333	8.933333	0	16931
1902121247	1.4949151e-06	2.1060173e-06	22.4	30.0	45.5	45.5	0	17493
1903161201	2.8349257e-06	2.0002426e-06	48.15485	266.0	33.71	33.71	1	16303
1907010953	1.6201424e-06	1.6494246000000001e-06	37.555557	143.0	31.861109999999996	31.861109999999996	1	17274
1909851897	4.569814e-06	3.180705e-06	95.30556	150.0	319.9361	319.9361	1	17107
1911101542	5.577585e-07	1.1024758e-06	1.6666666	7.0	7.5	7.5	0	14854
1915178417	4.7988215e-07	1.0261032e-06	0.0	0.0	0.5	0.5	1	17687
1915969711	4.9713867e-07	1.0393245999999998e-06	0.33333334	3.0	10.277778	10.277778	1	17516
1918777507	1.0378669e-06	1.55193e-06	14.166667000000002	26.0	77.166664	77.166664	1	17370
1924064519	1.4980491000000001e-06	2.1775204e-06	25.0	35.0	55.83333199999999	55.83333199999999	1	18045
1924445481	4.990088000000001e-07	1.037684e-06	0.5	1.0	40.0	40.0	1	17116
1928532305	5.347939e-07	1.0910846e-06	1.0	4.0	7.0	7.0	1	16913
1940473711	8.031484e-07	1.3162777e-06	4.5	11.0	12.5	12.5	0	17418
1942854910	6.0851505e-07	1.152236e-06	2.0	4.0	0.0	0.0	0	17042
1943503843	4.7988215e-07	1.0261032e-06	0.0	0.0	21.0	21.0	1	16492
1951463486	7.856174300000001e-07	1.3753396999999998e-06	6.0	22.0	41.5	41.5	1	18379
1952515592	4.7988215e-07	1.0261032e-06	0.0	0.0	0.33333334	0.33333334	0	17467
1952571930	4.7988215e-07	1.0261032e-06	0.0	0.0	3.0	3.0	0	16626
